,val
"(0, 0)",0.673821336366675
"(0, 1)",0.7250701221347541
"(1, 0)",0.6188636336057878
"(0, 2)",0.794807133094201
"(1, 1)",0.6854135559494123
"(2, 0)",0.5122646118786385
"(1, 2)",0.7644341809107036
"(2, 1)",0.6050097405742829
"(3, 0)",0.28830748498132075
"(2, 2)",0.7011651441369413
"(3, 1)",0.41662171623237965
"(3, 2)",0.5413015179935017
