,"(0, 0)","(0, 1)","(1, 0)","(0, 2)","(1, 1)","(2, 0)","(1, 2)","(2, 1)","(3, 0)","(2, 2)","(3, 1)","(3, 2)",H,X
"(0, 0)",0.0,0.5206028979717526,0.3686050285885496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037901675363911015,0.0728903980757867
"(0, 1)",0.0,0.0,0.0,0.4260934902161402,0.4036801381250799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05459457731167668,0.1156317943471032
"(1, 0)",0.0,0.0,0.0,0.0,0.5109169319695636,0.3229470071575335,0.0,0.0,0.0,0.0,0.0,0.0,0.05538621328095012,0.11074984759195286
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.5525831988894309,0.0,0.0,0.0,0.0,0.0,0.060631073425130376,0.3867857276854388
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.4621650410409574,0.33436370851521546,0.0,0.0,0.0,0.0,0.06599970759623217,0.13747154284759497
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331748584213102,0.27700482416276306,0.0,0.0,0.0,0.06641963224498357,0.12340068517094316
"(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4752007814195789,0.0,0.0,0.07947145647927067,0.44532776210115044
"(2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4993018828009308,0.2682885551089486,0.0,0.07848529722868627,0.15392426486143432
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6552246340232206,0.0,0.3165068147400303,0.028268551236749116
"(2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38741258741258744,0.10114275967934505,0.5114446529080675
"(3, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041960389392414,0.337361530715005,0.15844243034575362
"(3, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426590178402572,0.5734098215974279
H,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,
